hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-2.54575,20.9367,0.571146,-0.034451,0.368268,0.219839,1.49209,0.609361,-10.3786,5.75193
-2.48506,20.9342,0.498993,0.00576337,0.357076,0.154378,1.4885,0.588093,-4.65663,1.85689
-2.41502,20.9296,0.451221,0.029958,0.353209,0.118113,1.46363,0.56717,-1.74633,-0.17003
-2.36905,20.9515,0.436255,0.031829,0.361313,0.110842,1.4298,0.549211,-1.4782,-0.430731
-2.32144,20.9682,0.414239,0.0367408,0.363987,0.0981513,1.40088,0.525397,1.11884,-0.21554
-2.30231,20.978,0.375983,0.0541486,0.349553,0.0756336,1.39513,0.504306,0.721461,-1.58739
-2.28605,20.9945,0.382605,0.0536621,0.337448,0.089384,1.42505,0.51356,1.43232,-0.371697
-2.26366,21.0241,0.471632,0.00862819,0.347979,0.165049,1.47711,0.56088,-3.73444,3.23962
-2.24462,21.1565,0.589146,-0.041826,0.380042,0.256892,1.52182,0.623666,-13.7605,7.15925
-2.26198,21.0406,0.623935,-0.0698693,0.400286,0.275722,1.51498,0.63928,-11.5077,9.0015
-2.29069,21.0882,0.581701,-0.0430529,0.403903,0.230452,1.4678,0.613315,-11.5119,6.04985
-2.33201,20.9941,0.468679,0.0129291,0.374529,0.134747,1.41291,0.557436,-3.37757,1.47366
-2.35172,21.0014,0.388214,0.06334,0.338427,0.0685304,1.38771,0.518137,2.66318,-2.26916
-2.38497,20.9473,0.409284,0.0600767,0.323464,0.0820332,1.4012,0.519252,1.42422,-1.93339
-2.41494,20.9781,0.504724,0.0188583,0.333939,0.1523,1.43851,0.552163,-3.73612,1.58942
-2.45785,20.9415,0.581375,-0.0200651,0.349507,0.21316,1.46998,0.584332,-8.3937,4.92144
-2.50439,20.9056,0.624207,-0.048975,0.368466,0.248514,1.47584,0.603829,-10.6088,7.4949
-2.57316,20.89,0.645458,-0.0649318,0.389299,0.265841,1.45881,0.611863,-13.5252,8.36865
-2.64565,20.8195,0.621729,-0.0605265,0.398235,0.243423,1.43315,0.599457,-10.4649,7.86758
-2.70495,20.7599,0.571551,-0.0322691,0.391893,0.197166,1.42393,0.580814,-7.64736,5.19183
-2.77211,20.6703,0.531601,-0.00760728,0.377779,0.163717,1.44049,0.571289,-7.5437,2.55414
-2.84474,20.6214,0.526601,0.00163422,0.365428,0.163245,1.46867,0.575875,-3.93006,2.76461
-2.93578,20.5879,0.506599,0.00695762,0.350565,0.161622,1.4833,0.576863,-4.62468,2.37324
-3.02674,20.56,0.453602,0.0265711,0.331085,0.136608,1.46691,0.562823,-5.06762,1.60623
-3.12016,20.4614,0.416898,0.0275362,0.32731,0.122454,1.4373,0.550407,-1.69648,1.7598
-3.21883,20.5112,0.505448,-0.0134869,0.369619,0.175394,1.43544,0.579525,-6.11433,4.83879
-3.32982,20.3184,0.600446,-0.0570929,0.411865,0.222029,1.45895,0.611526,-11.109,6.55828
